pergunta,resposta
"O que a cobertura de Filhos Póstumos garante?","A cobertura de Filhos Póstumos garante o pagamento de indenização em caso de falecimento de um dos pais (pai ou mãe), ou em caso de falecimento do pai e da mãe, durante o período gestacional. "
"A cobertura de Filhos Póstumos pode ser contratada durante a gravidez?","Não, para ter direito a indenização o período gestacional não pode estar em curso no momento da contratação da cobertura. "
"Quem recebe a indenização da cobertura de Filhos Póstumos na falta de ambos os pais?","Os beneficiários da cobertura de Filhos Póstumos serão o pai ou a mãe, ou na falta de ambos, ao responsável legal do nascituro. "
"Para que serve a cobertura de Aquisição de Jazigo?","A cobertura de Aquisição de Jazigo garante o reembolso das despesas à pessoa que arcou com os custos da aquisição de jazigo para o segurado em cemitério público ou privado, limitado ao valor contratado. "
"É obrigatório possuir a cobertura de Funeral para contratar a Aquisição de Jazigo?","Não, a cobertura poderá ser contratada sem a obrigatoriedade de possuir a cobertura de Funeral, sendo a única obrigatoriedade possuir as coberturas básicas de Morte ou Morte Acidental. "
"Existe alguma idade limite de exclusão para a cobertura de Aquisição de Jazigo?","Não, a cobertura é vitalícia, contudo a idade de contratação da nova cobertura é dos 14 aos 65 anos. "
"O que é a cobertura DIT?","É uma cobertura de seguro que garante o pagamento de diárias ao segurado em caso de afastamento temporário por doença ou acidente. "
"Qual a diferença entre Capital Uniforme e Capital Vinculado na cobertura DIT?","No Capital Uniforme o valor da diária é fixo e definido na contratação, enquanto no Capital Vinculado o valor é calculado com base na diferença entre o salário líquido mensal do segurado e o valor pago pelo INSS. "
"Quais são as restrições e exclusões específicas para lesões por esforços repetitivos na cobertura DIT?","Não há cobertura para Lesões por Esforços Repetitivos (LER), Doenças Osteomusculares Relacionadas ao Trabalho (DORT), Lesão por Trauma Continuado ou Contínuo (LTC) ou similares, e suas consequências pós-tratamento. "
"O que a cobertura de Acessibilidade Física por Acidente (ACF) garante?","A cobertura de ACF garante o pagamento de um capital segurado em caso de Invalidez Permanente Total ou Parcial por Acidente que poderá ser utilizada para auxiliar com os custos de adaptação da residência e/ou do veículo do segurado. "
"O cliente é obrigado a usar a indenização do ACF exclusivamente para adaptações da residência ou do veículo?","Não, o cliente pode usar o capital segurado da forma que desejar, sendo a utilização para adaptação apenas uma indicação e não se trata de um reembolso. "
"A partir de qual grau de invalidez o segurado tem direito à indenização na cobertura ACF?","O segurado só tem direito a indenização se o valor da Invalidez for superior a 50%, conforme tabela específica da cobertura de Acessibilidade Física por Acidente. "
"Quais são as coberturas básicas do seguro Vida Flex?","As coberturas básicas do seguro Vida Flex são Morte (MQC), Morte Acidental (MA) e Doenças Graves (DG). "
"O plano Vida Flex permite a concessão de resgate ou devolução de prêmios pagos ao longo do contrato?","Não, devido à natureza do regime financeiro de repartição simples, este plano não permite a concessão de resgate, saldamento, seguro prolongado ou devolução de quaisquer prêmios pagos. "
